전공영역1,전공영역2,구분,학수번호-분반,교과목명,교수,시간,학점,담은 인원,정원,비고
스포츠과학대학,스포츠과학과,전공일반,SPT2021-41,배구,김영준,월15:00-15:50【05124A】월16:00-16:50【05124A】,1,20,0,오프라인
스포츠과학대학,스포츠과학과,전공,SPT2040-41,글로벌스포츠이슈,김영준,월12:00-13:15【51306】수13:30-14:45【51306】,3,48,0,글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming
스포츠과학대학,스포츠과학과,전공일반,SPT3004-41,운동처방론,진영윤,수09:00-10:15【51306】수10:30-11:45【51306】,3,71,0,오프라인
스포츠과학대학,스포츠과학과,전공일반,SPT3056-41,운동학습및심리,오성민,화13:30-14:45【51307】목12:00-13:15【51307】,3,68,0,오프라인
스포츠과학대학,스포츠과학과,전공(대학원),SIS4001-41,스포츠인터랙션사이언스,김태희,월18:00-19:15【05132】월19:30-20:45【05132】,3,6,0,글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming
스포츠과학대학,스포츠과학과,전공(대학원),SIS4201-41,스포츠빅데이터분석,김승찬,화15:00-16:15【05132】화16:30-17:45【05132】,3,7,0,오프라인
스포츠과학대학,스포츠과학과,전공일반,SPT2009-41,스포츠법학,강래혁,금09:00-10:15【51306】금10:30-11:45【51306】,3,62,0,오프라인
스포츠과학대학,스포츠과학과,전공일반,SPT2024-41,배드민턴,최민정,수12:00-12:50【51307】수13:00-13:50【51307】,1,21,0,오프라인
스포츠과학대학,스포츠과학과,전공일반,SPT2030-41,체육측정평가,편현웅,월16:30-17:45【51306】수15:00-16:15【51306】,3,25,0,글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming
스포츠과학대학,스포츠과학과,전공핵심,SPT2031-41,운동역학,엄길호,화12:00-13:15【51307】목13:30-14:45【51307】,3,26,0,글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming
스포츠과학대학,스포츠과학과,전공,SPT2043-41,스포츠데이터분석,김정윤,월09:00-10:15【51306】월10:30-11:45【51306】,3,56,0,온-오프[오프라인+강의저장]
스포츠과학대학,스포츠과학과,전공,SPT2045-41,스포츠재무관리,편현웅,월13:30-14:45【51306】수12:00-13:15【51306】,3,59,0,글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming
스포츠과학대학,스포츠과학과,전공일반,SPT3005-41,스포츠의학,김경민,금15:00-16:15【51306】금16:30-17:45【51306】,3,49,0,글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming
스포츠과학대학,스포츠과학과,전공일반,SPT3029-41,탁구,조용순,수15:00-15:50【05124A】수16:00-16:50【05124A】,1,19,0,오프라인
스포츠과학대학,스포츠과학과,전공일반,SPT3068-41,플로어볼,김세웅,금15:00-15:50【51307】금16:00-16:50【51307】,1,20,0,오프라인
스포츠과학대학,스포츠과학과,전공일반,SPT3069-41,골프II,이정연,화10:00-10:50【51307】화11:00-11:50【51307】,1,19,0,오프라인
스포츠과학대학,스포츠과학과,전공일반,SPT3073-41,스포츠커뮤니케이션,장원석,목09:00-10:15【51306】목10:30-11:45【51306】,3,72,0,오프라인
스포츠과학대학,스포츠과학과,전공일반,SPT3077-41,스포츠창업과기업가정신,김태희,화09:00-10:15【51306】화10:30-11:45【51306】,3,64,0,글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming
스포츠과학대학,스포츠과학과,전공일반,SPT3079-41,필라테스(기구),이상희,목15:00-15:50【05124A】목16:00-16:50【05124A】,1,20,0,오프라인
스포츠과학대학,스포츠과학과,전공,SPT3081-41,스포츠AI캡스톤디자인,김승찬,목09:00-10:15【51307】목10:30-11:45【51307】,3,7,0,"글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming, 수업운영방식 변경됨(혁신수업-문제해결)"
스포츠과학대학,스포츠과학과,전공,SPT3084-41,테니스Ⅱ,편현웅,목14:00-14:50【51306】목15:00-15:50【51306】,1,17,0,오프라인
스포츠과학대학,스포츠과학과,전공일반,SPT3090-41,스포츠산학연문제해결,장경로,금12:00-13:15【51306】금13:30-14:45【51306】,3,37,0,글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming
스포츠과학대학,스포츠과학과,전공(대학원),SPT4003-41,운동역학연구,엄길호,화09:00-10:15【05132】화10:30-11:45【05132】,3,1,0,"오프라인, 학기중 2주 공동강의예정"
스포츠과학대학,스포츠과학과,전공(대학원),SPT4004-41,스포츠심리학연구,이재무,월15:00-16:15【05133】월16:30-17:45【05133】,3,2,0,오프라인
스포츠과학대학,스포츠과학과,전공(대학원),SPT4009-41,디지털피트니스,김경민,목18:00-19:15【05132】목19:30-20:45【05132】,3,6,0,오프라인
스포츠과학대학,스포츠과학과,전공,SPT3086-41,응용스포츠심리,조희태,화15:00-16:15【51306】목16:30-17:45【51306】,3,47,0,글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming
약학대학,약학부,전공핵심,PHR2012-41,약품분자생물학,조은정,화14:00-14:50【530250】화15:00-15:50【530250】화16:00-16:50【530250】,3,38,0,온-오프[오프라인+강의저장]
약학대학,약학부,전공핵심,PHR2012-42,약품분자생물학,조은정,수14:00-14:50【530250】수15:00-15:50【530250】수16:00-16:50【530250】,3,27,0,온-오프[오프라인+강의저장]
약학대학,약학부,전공핵심,PHR2008-41,약품미생물학1,이원식,금14:00-14:50【530150】금15:00-15:50【530150】금16:00-16:50【530150】,3,57,0,오프라인
약학대학,약학부,전공핵심,PHR2011-41,생약학2,김충섭,월10:00-10:50【530150】월11:00-11:50【530150】,2,57,0,오프라인
약학대학,약학부,전공핵심,PHR2013-41,생물약제학,정지훈,수15:00-15:50【530154】수16:00-16:50【530154】수17:00-17:50【530154】,3,65,0,오프라인
약학대학,약학부,전공핵심,PHR2014-41,물리약학,박은석,화10:00-10:50【530150】화11:00-11:50【530150】수14:00-14:50【530150】수15:00-15:50【530150】,4,34,0,오프라인
약학대학,약학부,전공핵심,PHR2014-42,물리약학,박은석,화14:00-14:50【530150】화15:00-15:50【530150】수10:00-10:50【530150】수11:00-11:50【530150】,4,27,0,오프라인
약학대학,약학부,전공핵심,PHR2015-41,병태생리학,이효종,목09:00-09:50【530150】목10:00-10:50【530150】목11:00-11:50【530150】목12:00-12:50【530150】,4,57,0,오프라인
약학대학,약학부,전공핵심,PHR2020-41,의약화학,박현주,수10:00-10:50【530250】수11:00-11:50【530250】수12:00-12:50【530250】,3,37,0,온-오프[오프라인+강의저장]
약학대학,약학부,전공핵심,PHR2020-42,의약화학,박현주,금14:00-14:50【530154】금15:00-15:50【530154】금16:00-16:50【530154】,3,30,0,온-오프[오프라인+강의저장]
약학대학,약학부,전공핵심,PHR2022-41,독성학,김형식,화10:00-10:50【530154】화11:00-11:50【530154】화12:00-12:50【530154】,3,65,0,온-오프[오프라인+강의저장]
약학대학,약학부,전공핵심,PHR2024-41,예방약학2,김형식,월10:00-10:50【530254】월11:00-11:50【530254】,2,65,0,온-오프[오프라인+강의저장]
약학대학,약학부,전공핵심,PHR2027-41,약물동력학,신범수,월14:00-14:50【530154】월15:00-15:50【530154】월16:00-16:50【530154】,3,40,0,오프라인
약학대학,약학부,전공핵심,PHR2027-42,약물동력학,신범수,금10:00-10:50【530154】금11:00-11:50【530154】금12:00-12:50【530154】,3,31,0,오프라인
약학대학,약학부,전공핵심,PHR2029-41,약리학2,이석용,화14:00-14:50【530254】화15:00-15:50【530254】,2,34,0,오프라인
약학대학,약학부,전공핵심,PHR2029-42,약리학2,이석용,화17:00-17:50【530254】화18:00-18:50【530254】,2,34,0,온-오프[오프라인+강의저장]
약학대학,약학부,실험실습,PHR3015-41,약학연구1,조동규,목17:00-17:50【미지정】목18:00-18:50【미지정】목19:00-19:50【미지정】목20:00-20:50【미지정】목21:00-21:45【미지정】목21:45-22:30【미지정】토18:00-18:50【미지정】토19:00-19:50【미지정】토20:00-20:50【미지정】토21:00-21:45【미지정】,5,0,0,오프라인
약학대학,약학부,실험실습,PHR3016-41,약학연구2,조동규,토08:00-08:50【미지정】토09:00-09:50【미지정】토10:00-10:50【미지정】토11:00-11:50【미지정】토12:00-12:50【미지정】토13:00-13:50【미지정】토14:00-14:50【미지정】토15:00-15:50【미지정】토16:00-16:50【미지정】토17:00-17:50【미지정】,5,0,0,오프라인
약학대학,약학부,전공핵심,PHR3059-41,임상약리학,장춘곤,화11:00-11:50【530254】화12:00-12:50【530254】,2,64,0,오프라인
약학대학,약학부,전공핵심,PHR3071-41,약물치료학4,양애연,월09:00-09:50【530250】월10:00-10:50【530250】,2,65,0,오프라인
약학대학,약학부,전공일반,PHR3104-41,약물남용학,장춘곤,수11:00-11:50【530254】수12:00-12:50【530254】,2,37,0,오프라인
약학대학,약학부,전공일반,PHR3106-41,임상영양및건강식품학,김형식,화19:00-19:50【미지정】화20:00-20:50【미지정】,2,1,0,온-오프[오프라인+강의저장]
약학대학,약학부,전공일반,PHR3111-41,약물신호전달학,이소아,월19:00-19:50【미지정】월20:00-20:50【미지정】,2,1,0,글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming
약학대학,약학부,전공일반,PHR3115-41,천연물신약론,김기현,수09:00-09:50【530254】수10:00-10:50【530254】,2,23,0,글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming
약학대학,약학부,전공일반,PHR3120-41,약물작용기초이론,정가영,월19:00-19:50【530154】월20:00-20:50【530154】월21:00-21:45【530154】,3,3,0,오프라인
약학대학,약학부,전공핵심,PHR3124-41,약학실무실습3,박은석,월17:00-17:50【미지정】수17:00-17:50【미지정】,2,1,0,오프라인
약학대학,약학부,전공일반,PHR3127-41,약무정책개론,이의경,수13:00-13:50【530154】수14:00-14:50【530154】,2,28,0,"글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming, 약무정책개론 강의는 수요일 5,6교시로 시간표 변경 예정입니다."
약학대학,약학부,전공(대학원),IPS5006-41,시판후안전성관리론,신선미,토15:00-15:50【530254】토16:00-16:50【530254】,3,0,0,오프라인
약학대학,약학부,전공핵심,PHR2007-41,약품생화학2,이민규,금10:00-10:50【530150】금11:00-11:50【530150】,2,51,0,오프라인
약학대학,약학부,전공핵심,PHR2026-41,약제학2,윤유석,목10:00-10:50【530154】목11:00-11:50【530154】,2,59,0,온-오프[오프라인+강의저장]
약학대학,약학부,전공핵심,PHR2034-41,의약품합성학1,김인수,월14:00-14:50【530150】월15:00-15:50【530150】월16:00-16:50【530150】,3,53,0,오프라인
약학대학,약학부,전공핵심,PHR3001-41,약사법규,이재현,월14:00-14:50【530250】월15:00-15:50【530250】월16:00-16:50【530250】,3,63,0,오프라인
약학대학,약학부,전공핵심,PHR3004-41,약물치료학3,이용석,수16:00-16:50【530254】수17:00-17:50【530254】수18:00-18:50【530254】,3,60,0,온라인[사전제작]
약학대학,약학부,실험실습,PHR3009-41,약학실습3,김인수,목13:00-13:50【미지정】목14:00-14:50【미지정】목15:00-15:50【미지정】목16:00-16:50【미지정】,1,60,0,오프라인
약학대학,약학부,실험실습,PHR3009-42,약학실습3,김인수,목13:00-13:50【미지정】목14:00-14:50【미지정】목15:00-15:50【미지정】목16:00-16:50【미지정】,1,9,0,오프라인
약학대학,약학부,실험실습,PHR3010-41,약학실습4,김인수,목13:00-13:50【미지정】목14:00-14:50【미지정】목15:00-15:50【미지정】목16:00-16:50【미지정】,1,8,0,오프라인
약학대학,약학부,실험실습,PHR3010-42,약학실습4,김인수,목13:00-13:50【미지정】목14:00-14:50【미지정】목15:00-15:50【미지정】목16:00-16:50【미지정】,1,2,0,오프라인
약학대학,약학부,실험실습,PHR3013-41,약학실습7,김인수,목13:00-13:50【미지정】목14:00-14:50【미지정】목15:00-15:50【미지정】목16:00-16:50【미지정】,1,21,0,오프라인
약학대학,약학부,실험실습,PHR3013-42,약학실습7,김인수,목13:00-13:50【미지정】목14:00-14:50【미지정】목15:00-15:50【미지정】목16:00-16:50【미지정】,1,6,0,오프라인
