전공영역1,전공영역2,구분,학수번호-분반,교과목명,교수,시간,학점,담은 인원,정원,비고
의과대학,의학과,전공일반,MED3069-41,기초의학종합평가,이경훈,월09:00-09:50【711108】,1,18,0,"오프라인, M3 수강과목"
의과대학,의학과,전공일반,MED3073-41,환자와의사1,전경만,월10:00-10:50【712115A】월11:00-11:50【712115A】,1,17,0,"오프라인, M3 수강과목"
의과대학,의학과,전공일반,MED3139-41,사회와의사:역학,신명희,월15:00-15:50【711125】월16:00-16:50【711125】,2,16,0,"오프라인, M3 수강과목"
의과대학,의학과,전공일반,MED3146-41,의료윤리1,최연호,화10:00-10:50【711125】,1,17,0,"오프라인, M3 수강과목"
의과대학,의학과,전공일반,MED3147-41,임상기초의학,박경아,화11:00-11:50【711125】화12:00-12:50【711125】화13:00-13:50【711125】,3,17,0,"오프라인, M3 수강과목"
의과대학,의학과,전공일반,MED3148-41,"핵심과정1(순환기학,신장학,호흡기학)",김호중,수09:00-09:50【711125】수10:00-10:50【711125】수11:00-11:50【711125】수12:00-12:50【711125】수13:00-13:50【711125】수14:00-14:50【711125】수15:00-15:50【711125】수16:00-16:50【711125】목09:00-09:50,12,16,0,"오프라인, M3 수강과목"
의과대학,의학과,전공일반,MED3151-41,"핵심과정4(감염학,알레르기학)",강철인,월09:00-09:50【711127】월10:00-10:50【711127】월11:00-11:50【711127】월12:00-12:50【711127】,4,4,0,"오프라인, M4 수강과목"
의과대학,의학과,전공일반,MED3152-41,"핵심과정5(근골격계학,류마티스학,피부과학)",차훈석,화09:00-09:50【711127】화10:00-10:50【711127】화11:00-11:50【711127】화12:00-12:50【711127】화13:00-13:50【711127】,5,4,0,"오프라인, M4 수강과목"
의과대학,의학과,전공일반,MED3158-41,환자와의사3,전경만,목14:00-14:50【미지정】목15:00-15:50【미지정】,1,3,0,"오프라인, M4 수강과목"
의과대학,의학과,전공일반,MED3095-41,필수학생연구2,전홍진,미지정,2,0,0,"오프라인, M5 수강과목"
의과대학,의학과,전공일반,MED3096-41,내과학실습,이준혁,월08:00-08:50【미지정】월09:00-09:50【미지정】월10:00-10:50【미지정】월11:00-11:50【미지정】월12:00-12:50【미지정】월13:00-13:50【미지정】월14:00-14:50【미지정】월15:00-15:50【미지정】월16:00-16:50【미지정】월17:00-17:50【미지정】,15,0,0,"오프라인, M5 수강과목"
의과대학,의학과,전공일반,MED3099-41,산부인과학실습,이정원,목08:00-08:50【미지정】목09:00-09:50【미지정】목10:00-10:50【미지정】목11:00-11:50【미지정】목12:00-12:50【미지정】목13:00-13:50【미지정】목14:00-14:50【미지정】목15:00-15:50【미지정】,4,1,0,"오프라인, M5 수강과목"
의과대학,의학과,전공일반,MED3100-41,소아청소년과학실습,안강모,목16:00-16:50【미지정】목17:00-17:50【미지정】금08:00-08:50【미지정】금09:00-09:50【미지정】금10:00-10:50【미지정】금11:00-11:50【미지정】금12:00-12:50【미지정】금13:00-13:50【미지정】,4,2,0,"오프라인, M5 수강과목"
의과대학,의학과,전공일반,MED3101-41,신경과학실습,서대원,월08:00-08:50【미지정】월09:00-09:50【미지정】월10:00-10:50【미지정】월11:00-11:50【미지정】금14:00-14:50【미지정】금15:00-15:50【미지정】금16:00-16:50【미지정】금17:00-17:50【미지정】,4,0,0,"오프라인, M5 수강과목"
의과대학,의학과,전공일반,MED3103-41,외과학실습1,김지수,화08:00-08:50【미지정】화09:00-09:50【미지정】화11:00-11:50【미지정】화12:00-12:50【미지정】화13:00-13:50【미지정】화14:00-14:50【미지정】화15:00-15:50【미지정】화16:00-16:50【미지정】,4,1,0,"오프라인, M5 수강과목"
의과대학,의학과,전공일반,MED3104-41,정신건강의학과학실습,홍진표,수08:00-08:50【미지정】수09:00-09:50【미지정】수10:00-10:50【미지정】수11:00-11:50【미지정】수12:00-12:50【미지정】수13:00-13:50【미지정】수14:00-14:50【미지정】수15:00-15:50【미지정】,4,1,0,"오프라인, M5 수강과목"
의과대학,의학과,전공일반,MED3107-41,영상의학실습,한부경,목08:00-08:50【미지정】목09:00-09:50【미지정】목10:00-10:50【미지정】목11:00-11:50【미지정】,2,0,0,"오프라인, M5 수강과목"
의과대학,의학과,전공일반,MED3109-41,페이션트익스피리언스2,전경만,화10:00-10:50【미지정】화11:00-11:50【미지정】,1,0,0,"오프라인, M5 수강과목"
