전공영역1,전공영역2,구분,학수번호-분반,교과목명,교수,시간,학점,담은 인원,정원,비고
문과대학,프랑스어문학과,전공일반,CLA2003-01,인문학명저산책,허민,월09:00-10:15【31406】월10:30-11:45【31406】,3,52,0,오프라인
문과대학,프랑스어문학과,전공일반,CLA2003-02,인문학명저산책,오윤희,월10:30-11:45【31409】수09:00-10:15【31409】,3,58,0,오프라인
문과대학,프랑스어문학과,전공일반,CLA2003-04,인문학명저산책,김종엽,화18:00-19:15【31706】화19:30-20:45【31706】,3,75,0,"글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming, 경우에 따라 게더타운 혹은 Zep으로 실시간 수업 진행"
문과대학,프랑스어문학과,전공핵심,FRE2014-01,프랑스지역연구입문,앙트완코폴라,월15:00-16:15【31707】수16:30-17:45【31707】,3,19,0,"국제어수업, 글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming"
문과대학,프랑스어문학과,전공핵심,FRE2017-01,프랑스어회화1b,마리께소,화13:00-13:50【31608】화14:00-14:50【31608】목13:00-13:50【31608】목14:00-14:50【31608】,3,18,0,"국제어수업, 오프라인"
문과대학,프랑스어문학과,전공일반,FRE3003-01,시사프랑스어,김병욱,화12:00-13:15【31707】목13:30-14:45【31707】,3,26,0,오프라인
문과대학,프랑스어문학과,전공일반,FRE3020-01,프랑스문학과신화,강희석,화15:00-16:15【31512】목16:30-17:45【31512】,3,40,0,오프라인
문과대학,프랑스어문학과,전공일반,FRE3023-01,프랑스사회문화토픽,정지용,월16:30-17:45【31609】수15:00-16:15【31609】,3,20,0,"오프라인, 기본적 대면수업 진행, 온라인수업의 경우 학교 방침을 따름"
문과대학,프랑스어문학과,전공일반,FRE3028-01,프랑스지방문화,김인식,화16:30-17:45【31308】목15:00-16:15【31308】,3,37,0,오프라인
문과대학,프랑스어문학과,전공일반,FRE3037-01,delf프랑스어,마리께소,화10:30-11:45【31406】목09:00-10:15【31406】,3,13,0,"국제어수업, 오프라인"
문과대학,프랑스어문학과,전공일반,FRE3043-01,프랑스영화와문화콘텐츠,앙트완코폴라,금12:00-13:15【31609】금13:30-14:45【31609】,3,24,0,"국제어수업, 글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming"
문과대학,프랑스어문학과,전공핵심,FRE3047-01,프랑스문화정책,박희태,수09:00-10:15【31709】수10:30-11:45【31709】,3,36,0,오프라인
문과대학,여성학전공,전공/전공일반,PHL3027-41,문화철학,이아름,화13:30-14:45【51155】목12:00-13:15【51155】,3,40,0,"온-오프[오프라인+강의저장,Real Time Streaming], 교양인정전공교과목(비전공생수강시, 균형교양 인간/문화의이해영역으로 인정)"
문과대학,여성학전공,전공/전공일반,HIS3022-01,유럽의정신생활사,김민철,금12:00-13:15【31706】금13:30-14:45【31706】,3,20,0,"글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming, 교양인정전공교과목(비전공생수강시, 균형교양 사회/역사의이해영역으로 인정)"
문과대학,여성학전공,전공일반,ENG3025-01,현대영미소설,김일영,화12:00-13:15【31603】목13:30-14:45【31603】,3,45,0,온-오프[오프라인+강의저장]
문과대학,유라시아지역문화경제전공,전공/전공일반,HIS3022-01,유럽의정신생활사,김민철,금12:00-13:15【31706】금13:30-14:45【31706】,3,20,0,"글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming, 교양인정전공교과목(비전공생수강시, 균형교양 사회/역사의이해영역으로 인정)"
문과대학,유라시아지역문화경제전공,전공일반,BUS2018-01,국제경영,에디주나신,금09:00-10:15【33304】금10:30-11:45【33304】,3,14,0,"국제어수업, 글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming"
문과대학,유라시아지역문화경제전공,전공일반,BUS2018-02,국제경영,양백,금15:00-16:15【33301】금16:30-17:45【33301】,3,72,0,오프라인
