전공영역1,전공영역2,구분,학수번호-분반,교과목명,교수,시간,학점,담은 인원,정원,비고
성균나노과학기술원,나노과학공학전공,전공일반,EAM2011-41,신소재프로세스공학,주진호,월12:00-13:15【26311】수13:30-14:45【26311】,3,55,0,"온-오프[오프라인+강의저장], ABEEK"
성균나노과학기술원,나노과학공학전공,전공일반,EAM2011-43,신소재프로세스공학,하마드코티바,월09:00-10:15【26108】수10:30-11:45【26108】,3,55,0,"국제어수업, 오프라인, ABEEK"
성균나노과학기술원,나노과학공학전공,전공일반,EAM3049-41,반도체공정,강주훈,월15:00-16:15【26311】수16:30-17:45【26311】,3,47,0,"국제어수업, 오프라인, ABEEK"
성균나노과학기술원,나노과학공학전공,전공일반,EAM3049-42,반도체공정,김형섭,화12:00-13:15【26311】목13:30-14:45【26311】,3,49,0,"오프라인, ABEEK"
성균나노과학기술원,나노과학공학전공,전공일반,EAM3049-43,반도체공정,이내응,월10:30-11:45【26502】수09:00-10:15【26502】,3,45,0,"오프라인, ABEEK"
성균나노과학기술원,나노과학공학전공,전공일반,ERC3011-41,산학융합캡스톤디자인,이준영,금18:00-19:15【23217】금19:30-20:45【23217】,3,48,0,"강의저장수업, 글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming, ABEEK"
성균나노과학기술원,나노과학공학전공,전공일반,EAM3027-41,고체물성론,이재찬,화15:00-16:15【26108】목16:30-17:45【26108】,3,25,0,"국제어수업, 오프라인, ABEEK"
성균나노과학기술원,나노과학공학전공,전공일반,EAM3048-41,나노신소재,임병권,월13:30-14:45【26108】수12:00-13:15【26108】,3,33,0,"오프라인, ABEEK"
성균나노과학기술원,나노과학공학전공,전공일반,EAM2003-41,결정결함론,양철웅,화12:00-13:15【26110】목13:30-14:45【26110】,3,36,0,"온-오프[오프라인+강의저장], ABEEK"
성균나노과학기술원,나노과학공학전공,전공일반,EAM2040-41,재료전자기학,이후정,월15:00-16:15【26108】수16:30-17:45【26108】,3,32,0,"오프라인, ABEEK"
성균나노과학기술원,나노과학공학전공,전공핵심,EAM2042-41,재료열역학1,김명길,화10:30-11:45【26110】목09:00-10:15【26110】,3,60,0,"오프라인, ABEEK"
성균나노과학기술원,나노과학공학전공,전공핵심,EAM2042-42,재료열역학1,김윤석,월12:00-13:15【26108】수13:30-14:45【26108】,3,56,0,"오프라인, ABEEK"
성균나노과학기술원,나노과학공학전공,전공핵심,EAM2042-43,재료열역학1,하마드코티바,화13:30-14:45【26108】목12:00-13:15【26108】,3,51,0,"국제어수업, 오프라인, ABEEK"
성균나노과학기술원,나노과학공학전공,전공핵심,EAM3003-41,상변태학,김영훈,화09:00-10:15【26311】목10:30-11:45【26311】,3,80,0,"국제어수업, 오프라인, ABEEK"
성균나노과학기술원,나노과학공학전공,전공일반,EAM2011-42,신소재프로세스공학,정승부,화12:00-13:15【26108】목13:30-14:45【26108】,3,21,0,"오프라인, ABEEK"
성균나노과학기술원,나노과학공학전공,전공일반,ERC3010-41,지식재산창업전략,이인구,화09:00-10:15【21514】화10:30-11:45【21514】,3,37,0,"오프라인, ABEEK"
성균나노과학기술원,나노과학공학전공,전공일반,ERC3012-41,특허아이디어검색과활용,이동근,화15:00-16:15【26509】목16:30-17:45【26509】,3,66,0,"온-오프[오프라인+강의저장], ABEEK"
성균나노과학기술원,나노과학공학전공,전공일반,EAM2008-41,에너지신소재학,정현석,월13:30-14:45【26311】수12:00-13:15【26311】,3,36,0,"오프라인, ABEEK"
성균나노과학기술원,나노과학공학전공,전공핵심,EAM3003-42,상변태학,이후정,화09:00-10:15【26108】목10:30-11:45【26108】,3,66,0,"국제어수업, 오프라인, ABEEK"
